time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609396.265455,2,2,5,-184,980,8182,f
1738609396.270477,4,2,5,-178,883,8200,f
1738609396.2749498,1,1,4,-173,1177,8116,f
1738609396.279959,2,1,8,-173,1488,8049,f
1738609396.2849789,2,1,5,-199,1067,8161,f
1738609396.290005,4,1,8,-181,1011,8183,f
1738609396.2950568,6,3,5,-179,742,8228,f
1738609396.299128,2,2,7,-176,1063,8159,f
1738609396.303173,3,4,6,-164,1232,8108,f
1738609396.307204,2,4,6,-185,1482,8053,f
1738609396.312212,1,2,6,-195,1119,8160,f
1738609396.317226,1,1,10,-183,1334,8080,f
1738609396.321943,0,1,4,-197,922,8207,f
1738609396.326956,0,2,5,-179,1014,8164,f
1738609396.3311648,2,0,7,-178,831,8216,f
1738609396.335192,1,4,5,-194,1045,8168,f
1738609396.339221,4,1,5,-166,1158,8144,f
1738609396.34423,2,3,6,-167,1426,8071,f
1738609396.349238,2,1,7,-175,1074,8147,f
1738609396.354262,1,2,6,-143,1373,8090,f
1738609396.3585348,2,3,5,-190,1064,8115,f
1738609396.363107,3,3,7,-196,801,8201,f
1738609396.3672068,3,1,6,-203,751,8248,f
1738609396.371246,4,1,5,-167,1071,8138,f
1738609396.375324,4,3,5,-188,893,8236,f
1738609396.379394,2,2,7,-157,1159,8148,f
1738609396.383616,2,2,7,-149,1047,8158,f
1738609396.388635,0,3,7,-175,1300,8106,f
1738609396.3936472,1,1,6,-163,1328,8060,f
1738609396.398655,3,1,8,-166,1044,8127,f
1738609396.4030678,3,3,9,-182,990,8164,f
1738609396.407158,2,4,5,-183,1077,8136,f
1738609396.41122,3,0,7,-170,887,8197,f
1738609396.415259,2,2,6,-185,790,8239,f
1738609396.4195251,1,0,8,-196,1086,8127,f
1738609396.424555,3,1,6,-156,866,8212,f
1738609396.4295769,2,1,5,-161,1000,8193,f
1738609396.434602,1,2,6,-183,1072,8144,f
1738609396.4390872,2,0,6,-165,1248,8115,f
1738609396.443294,2,2,3,-178,993,8190,f
1738609396.447314,0,1,8,-172,1267,8099,f
1738609396.45136,1,2,7,-180,1251,8071,f
1738609396.456372,3,2,5,-181,1001,8174,f
1738609396.461392,4,1,9,-183,1200,8118,f
1738609396.466107,1,3,5,-171,1088,8150,f
1738609396.471141,3,0,8,-167,1057,8166,f
1738609396.475344,0,1,8,-177,942,8177,f
1738609396.479409,2,2,8,-177,1145,8127,f
1738609396.483531,3,3,8,-189,891,8201,f
1738609396.488554,3,3,6,-200,878,8201,f
1738609396.493578,2,2,6,-180,1180,8140,f
1738609396.498465,2,1,5,-180,929,8194,f
1738609396.503403,4,3,7,-183,1133,8133,f
1738609396.5074291,3,0,7,-181,982,8231,f
1738609396.5119739,4,2,7,-170,1026,8199,f
1738609396.516994,1,2,5,-194,1091,8145,f
1738609396.522036,3,2,6,-173,1022,8177,f
1738609396.527064,4,4,3,-191,1079,8113,f
1738609396.531245,3,4,7,-196,1077,8159,f
1738609396.535445,1,2,5,-170,1104,8179,f
1738609396.5397499,1,2,5,-167,968,8165,f
1738609396.54477,2,2,5,-182,1103,8172,f
1738609396.5497868,3,2,4,-188,1120,8110,f
1738609396.554139,3,1,7,-198,981,8168,f
1738609396.5592031,4,1,5,-158,1142,8132,f
1738609396.5642161,1,4,5,-189,947,8206,f
1738609396.5692291,1,1,6,-182,1116,8148,f
1738609396.574068,2,1,6,-153,1105,8129,f
1738609396.579124,2,1,4,-163,1113,8084,f
1738609396.583207,0,2,3,-177,1145,8093,f
1738609396.5872908,3,2,9,-158,962,8196,f
1738609396.5923011,3,2,6,-177,1117,8151,f
1738609396.597321,2,4,7,-168,1103,8136,f
1738609396.602335,3,1,6,-177,970,8185,f
1738609396.6071649,2,3,6,-143,1118,8135,f
1738609396.611294,3,4,5,-195,1009,8161,f
1738609396.616311,4,4,7,-184,1064,8166,f
1738609396.621333,3,1,7,-156,1087,8179,f
1738609396.626356,1,1,8,-182,1060,8143,f
1738609396.6311522,3,2,5,-181,1077,8165,f
1738609396.635246,1,1,5,-172,1119,8120,f
1738609396.640255,2,3,8,-191,1049,8174,f
1738609396.6452749,1,1,4,-195,1054,8157,f
1738609396.6502872,2,2,8,-173,1204,8107,f
1738609396.65511,3,4,7,-179,1036,8141,f
1738609396.659269,2,1,8,-170,1238,8108,f
1738609396.664285,4,3,9,-161,1026,8181,f
1738609396.6683671,2,4,3,-172,1040,8159,f
1738609396.673388,2,1,7,-174,1124,8091,f
1738609396.678415,3,2,5,-170,1047,8135,f
1738609396.683061,3,2,6,-203,1006,8208,f
1738609396.697079,3,2,6,-203,1006,8208,f
1738609396.708282,3,2,6,-203,1006,8208,f
1738609396.712981,3,1,7,-194,1068,8154,f
1738609396.718026,4,2,5,-177,1058,8148,f
1738609396.7230651,2,4,5,-183,1075,8136,f
1738609396.727116,0,4,8,-190,1081,8142,f
1738609396.731169,2,2,8,-161,1199,8114,f
