time,acc_x,acc_y,acc_z,gyro_pitch,gyro_yaw,gyro_roll,vibration_status,label,person_id
2025-01-08 14:00:17.742020,3,2,6,-2505,7729,1331,0,0,0
2025-01-08 14:00:17.743276,3,2,6,-2505,7729,1331,0,0,0
2025-01-08 14:00:17.744732,1,1,7,-2497,7717,1331,0,0,0
2025-01-08 14:00:17.745999,1,1,7,-2497,7717,1331,0,0,0
2025-01-08 14:00:17.747262,1,1,7,-2497,7717,1331,0,0,0
2025-01-08 14:00:17.748530,1,1,7,-2497,7717,1331,0,0,0
2025-01-08 14:00:17.749805,2,4,6,-2476,7723,1318,0,0,0
2025-01-08 14:00:17.751064,2,4,6,-2476,7723,1318,0,0,0
2025-01-08 14:00:17.752419,2,4,6,-2476,7723,1318,0,0,0
2025-01-08 14:00:17.753688,0,3,6,-2475,7743,1320,0,0,0
2025-01-08 14:00:17.754938,0,3,6,-2475,7743,1320,0,0,0
2025-01-08 14:00:17.756212,0,3,6,-2475,7743,1320,0,0,0
2025-01-08 14:00:17.757477,2,2,4,-2507,7721,1324,0,0,0
2025-01-08 14:00:17.758750,2,2,4,-2507,7721,1324,0,0,0
2025-01-08 14:00:17.760037,2,2,4,-2507,7721,1324,0,0,0
2025-01-08 14:00:17.761269,1,4,7,-2502,7734,1300,0,0,0
2025-01-08 14:00:17.762551,1,4,7,-2502,7734,1300,0,0,0
2025-01-08 14:00:17.763831,1,4,7,-2502,7734,1300,0,0,0
2025-01-08 14:00:17.765122,1,2,4,-2502,7746,1300,0,0,0
2025-01-08 14:00:17.766405,1,2,4,-2502,7746,1300,0,0,0
2025-01-08 14:00:17.767684,1,2,4,-2502,7746,1300,0,0,0
2025-01-08 14:00:17.768746,4,3,6,-2509,7727,1300,0,0,0
2025-01-08 14:00:17.770014,4,3,6,-2509,7727,1300,0,0,0
2025-01-08 14:00:17.771278,4,3,6,-2509,7727,1300,0,0,0
2025-01-08 14:00:17.772545,4,3,6,-2509,7727,1300,0,0,0
2025-01-08 14:00:17.773871,4,5,7,-2496,7733,1300,0,0,0
2025-01-08 14:00:17.775145,4,5,7,-2496,7733,1300,0,0,0
2025-01-08 14:00:17.776418,4,5,7,-2496,7733,1300,0,0,0
2025-01-08 14:00:17.777689,4,3,5,-2537,7720,1257,0,0,0
2025-01-08 14:00:17.778949,4,3,5,-2537,7720,1257,0,0,0
2025-01-08 14:00:17.780209,4,3,5,-2537,7720,1257,0,0,0
2025-01-08 14:00:17.781483,2,4,6,-2513,7713,1254,0,0,0
2025-01-08 14:00:17.782754,2,4,6,-2513,7713,1254,0,0,0
2025-01-08 14:00:17.784073,2,4,6,-2513,7713,1254,0,0,0
2025-01-08 14:00:17.785327,3,4,5,-2500,7736,1237,0,0,0
2025-01-08 14:00:17.786588,3,4,5,-2500,7736,1237,0,0,0
2025-01-08 14:00:17.787865,3,4,5,-2500,7736,1237,0,0,0
2025-01-08 14:00:17.789120,4,4,5,-2519,7746,1237,0,0,0
2025-01-08 14:00:17.790384,4,4,5,-2519,7746,1237,0,0,0
2025-01-08 14:00:17.791647,4,4,5,-2519,7746,1237,0,0,0
2025-01-08 14:00:17.792907,1,4,5,-2513,7724,1214,0,0,0
2025-01-08 14:00:17.794171,1,4,5,-2513,7724,1214,0,0,0
2025-01-08 14:00:17.795432,1,4,5,-2513,7724,1214,0,0,0
2025-01-08 14:00:17.796690,2,1,5,-2503,7749,1244,0,0,0
2025-01-08 14:00:17.797978,2,1,5,-2503,7749,1244,0,0,0
2025-01-08 14:00:17.799252,2,1,5,-2503,7749,1244,0,0,0
2025-01-08 14:00:17.800621,2,1,5,-2503,7749,1244,0,0,0
2025-01-08 14:00:17.801888,1,2,7,-2499,7739,1243,0,0,0
2025-01-08 14:00:17.803147,1,2,7,-2499,7739,1243,0,0,0
2025-01-08 14:00:17.804430,1,2,7,-2499,7739,1243,0,0,0
2025-01-08 14:00:17.805698,2,1,5,-2495,7741,1259,0,0,0
2025-01-08 14:00:17.806958,2,1,5,-2495,7741,1259,0,0,0
2025-01-08 14:00:17.808219,2,1,5,-2495,7741,1259,0,0,0
2025-01-08 14:00:17.809494,2,1,5,-2530,7738,1240,0,0,0
2025-01-08 14:00:17.810755,2,1,5,-2530,7738,1240,0,0,0
2025-01-08 14:00:17.812022,2,1,5,-2530,7738,1240,0,0,0
2025-01-08 14:00:17.813286,2,2,6,-2512,7728,1266,0,0,0
2025-01-08 14:00:17.814576,2,2,6,-2512,7728,1266,0,0,0
2025-01-08 14:00:17.815846,2,2,6,-2512,7728,1266,0,0,0
2025-01-08 14:00:17.817110,1,1,7,-2514,7723,1252,0,0,0
2025-01-08 14:00:17.818376,1,1,7,-2514,7723,1252,0,0,0
2025-01-08 14:00:17.819634,1,1,7,-2514,7723,1252,0,0,0
2025-01-08 14:00:17.820885,2,1,7,-2523,7709,1242,0,0,0
2025-01-08 14:00:17.822154,2,1,7,-2523,7709,1242,0,0,0
2025-01-08 14:00:17.823414,2,1,7,-2523,7709,1242,0,0,0
2025-01-08 14:00:17.824687,2,0,10,-2525,7728,1279,0,0,0
2025-01-08 14:00:17.825958,2,0,10,-2525,7728,1279,0,0,0
2025-01-08 14:00:17.827217,2,0,10,-2525,7728,1279,0,0,0
2025-01-08 14:00:17.828475,2,0,10,-2525,7728,1279,0,0,0
2025-01-08 14:00:17.829738,0,1,7,-2494,7704,1295,0,0,0
2025-01-08 14:00:17.830996,0,1,7,-2494,7704,1295,0,0,0
2025-01-08 14:00:17.832074,0,1,7,-2494,7704,1295,0,0,0
2025-01-08 14:00:17.833348,4,1,5,-2481,7723,1282,0,0,0
2025-01-08 14:00:17.834614,4,1,5,-2481,7723,1282,0,0,0
2025-01-08 14:00:17.835875,4,1,5,-2481,7723,1282,0,0,0
2025-01-08 14:00:17.837144,0,1,7,-2494,7752,1312,0,0,0
2025-01-08 14:00:17.838403,0,1,7,-2494,7752,1312,0,0,0
2025-01-08 14:00:17.839664,0,1,7,-2494,7752,1312,0,0,0
2025-01-08 14:00:17.840939,0,2,9,-2498,7728,1314,0,0,0
2025-01-08 14:00:17.842041,0,2,9,-2498,7728,1314,0,0,0
2025-01-08 14:00:17.843301,0,2,9,-2498,7728,1314,0,0,0
2025-01-08 14:00:17.844730,2,3,4,-2484,7742,1311,0,0,0
2025-01-08 14:00:17.845989,2,3,4,-2484,7742,1311,0,0,0
2025-01-08 14:00:17.847312,2,3,4,-2484,7742,1311,0,0,0
2025-01-08 14:00:17.848806,2,1,8,-2502,7734,1327,0,0,0
2025-01-08 14:00:17.850078,2,1,8,-2502,7734,1327,0,0,0
2025-01-08 14:00:17.851350,2,1,8,-2502,7734,1327,0,0,0
2025-01-08 14:00:17.853023,2,1,8,-2502,7734,1327,0,0,0
2025-01-08 14:00:17.854295,2,2,7,-2494,7724,1303,0,0,0
2025-01-08 14:00:17.855558,2,2,7,-2494,7724,1303,0,0,0
2025-01-08 14:00:17.856944,3,3,7,-2485,7731,1321,0,0,0
2025-01-08 14:00:17.858215,3,3,7,-2485,7731,1321,0,0,0
2025-01-08 14:00:17.859478,3,3,7,-2485,7731,1321,0,0,0
2025-01-08 14:00:17.860881,3,3,5,-2499,7736,1329,0,0,0
2025-01-08 14:00:17.862152,3,3,5,-2499,7736,1329,0,0,0
2025-01-08 14:00:17.863424,3,3,5,-2499,7736,1329,0,0,0
2025-01-08 14:00:17.864823,2,4,7,-2477,7743,1330,0,0,0
2025-01-08 14:00:17.866106,2,4,7,-2477,7743,1330,0,0,0
2025-01-08 14:00:17.867392,2,4,7,-2477,7743,1330,0,0,0
2025-01-08 14:00:17.868659,2,4,7,-2477,7743,1330,0,0,0
2025-01-08 14:00:17.869933,2,1,6,-2487,7725,1319,0,0,0
2025-01-08 14:00:17.871214,2,1,6,-2487,7725,1319,0,0,0
